Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"ALLFUNDS GROUP";GB00BNTJ3546;ALLFG;"Euronext Amsterdam";EUR;5.535;5.545;5.485;5.495;"26/08/2024 17:35";CET;398495;'2191158.56;5.495;26/08/2024
ALLIANZ;DE0008404005;2ALV;"Trading After Hours";EUR;265.60;265.60;265.60;265.60;"29/07/2024 19:08";CET;4;1062.40;260.60;31/07/2024
ALLIANZ;DE0008404005;1ALV;"Euronext Global Equity Market";EUR;274.70;275.80;273.80;275.50;"26/08/2024 17:29";CET;581;'159496.00;275.60;26/08/2024
ALLIANZ;DE0008404005;4ALV;EuroTLX;EUR;274.50;274.50;274.50;274.50;"23/08/2024 13:00";CET;3;823.50;275.60;26/08/2024
ALMAWAVE;IT0005434615;AIW;"Euronext Growth Milan";EUR;4.02;4.16;4.02;4.11;"26/08/2024 16:29";CET;6463;26545.34;4.11;26/08/2024
"ALMUNDA PRO NV";NL0010696704;AMUND;"Euronext Amsterdam";EUR;1.20;1.24;1.20;1.24;"14/08/2024 16:29";CET;520;624.80;1.24;26/08/2024
"ALPES (COMPAGNIE)";FR0000053324;CDA;"Euronext Paris";EUR;13.80;14.00;13.76;13.84;"26/08/2024 17:35";CET;43440;'602430.16;13.84;26/08/2024
"ALPHA MOS";FR0013421286;ALNEO;"Euronext Growth Paris";EUR;'0.451;'0.48;'0.44;'0.48;"26/08/2024 13:17";CET;35172;15855.63;'0.48;26/08/2024
"ALPHABET CLASSE A";US02079K3059;4GOOGL;EuroTLX;EUR;148.80;148.80;147.64;147.64;"26/08/2024 16:32";CET;80;11891.36;148.30;26/08/2024
"ALPHABET CLASSE A";US02079K3059;2GOOGL;"Trading After Hours";EUR;157.30;157.30;157.30;157.30;"31/07/2024 19:20";CET;13;2044.90;157.30;31/07/2024
"ALPHABET CLASSE A";US02079K3059;1GOOGL;"Euronext Global Equity Market";EUR;148.50;150.10;147.20;148.28;"26/08/2024 17:35";CET;2098;'311800.88;148.28;26/08/2024
"ALPHABET CLASSE C";US02079K1079;2GOOG;"Trading After Hours";EUR;173.94;173.94;173.94;173.94;"15/07/2024 18:58";CET;7;1217.58;160.18;31/07/2024
"ALPHABET CLASSE C";US02079K1079;4GOOG;EuroTLX;EUR;149.58;149.58;149.58;149.58;"23/08/2024 11:01";CET;50;7479.00;149.92;26/08/2024
"ALPHABET CLASSE C";US02079K1079;1GOOG;"Euronext Global Equity Market";EUR;149.58;150.48;149.42;149.86;"26/08/2024 17:29";CET;487;73059.86;149.94;26/08/2024
ALSTOM;FR0010220475;4ALO;EuroTLX;EUR;16.50;16.50;16.50;16.50;"'05/08/2024 15:46";CET;212;3498.00;18.455;26/08/2024
ALSTOM;FR0010220475;ALO;"Euronext Paris";EUR;18.34;18.475;18.25;18.43;"26/08/2024 17:35";CET;641754;'11814677.81;18.43;26/08/2024
ALSTOM;FR0010220475;2ALO;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
ALTAMIR;FR0000053837;LTA;"Euronext Paris";EUR;24.80;24.80;24.30;24.50;"26/08/2024 17:05";CET;582;14337.50;24.50;26/08/2024
ALTAREA;FR0000033219;2ALTA;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
ALTAREA;FR0000033219;ALTA;"Euronext Paris";EUR;103.00;104.40;101.40;101.40;"26/08/2024 17:35";CET;4757;'488407.80;101.40;26/08/2024
ALTAREIT;FR0000039216;AREIT;"Euronext Paris";EUR;450.00;450.00;450.00;450.00;"26/08/2024 09:00";CET;1;450.00;450.00;26/08/2024
"ALTEA GREEN POWER";IT0005472730;AGP;"Euronext Growth Milan";EUR;6.91;7.14;6.91;7.01;"26/08/2024 17:35";CET;6804;48074.13;7.01;26/08/2024
ALTEN;FR0000071946;2ATE;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
ALTEN;FR0000071946;ATE;"Euronext Paris";EUR;99.75;100.10;99.20;99.65;"26/08/2024 17:35";CET;11979;'1193786.45;99.65;26/08/2024
"ALTERNUS ENERGY GR";IE00BLRPRP89;ALT;"Euronext Growth Oslo";NOK;2.895;2.895;2.00;2.335;"26/08/2024 16:19";CET;119970;'246878.76;2.335;26/08/2024
ALTHEORA;FR0000061244;ALORA;"Euronext Growth Paris";EUR;'0.433;'0.434;'0.43;'0.434;"26/08/2024 17:07";CET;1763;761.24;'0.434;26/08/2024
"ALTRI SGPS";PTALT0AE0002;ALTR;"Euronext Lisbon";EUR;4.82;4.826;4.77;4.792;"26/08/2024 21:35";BST;142950;'685633.38;4.792;26/08/2024
"ALTRI SGPS";PTALT0AE0002;2ALTR;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"ALTRIA GROUP";US02209S1033;1MO;"Euronext Global Equity Market";EUR;46.585;46.585;46.585;46.585;"23/08/2024 17:09";CET;500;23292.50;47.20;26/08/2024
"ALTRIA GROUP";US02209S1033;4MO;EuroTLX;EUR;47.19;47.19;47.19;47.19;"26/08/2024 16:13";CET;200;9438.00;47.19;26/08/2024
"ALTRIA GROUP";US02209S1033;2MO;"Trading After Hours";EUR;46.56;46.56;46.56;46.56;"29/07/2024 20:05";CET;4;186.24;44.575;31/07/2024
"ALUMEXX N.V.";NL0012194724;ALX;"Euronext Amsterdam";EUR;1.26;1.26;1.24;1.26;"26/08/2024 17:05";CET;8;10.06;1.26;26/08/2024
ALVEEN;FR0013253812;MLALV;"Euronext Access Paris";EUR;'0.10;'0.10;'0.10;'0.10;"15/08/2024 11:30";CET;1;'0.10;'0.10;26/08/2024
"AMA CORPORATION";GB00BNKGZC51;ALAMA;"Euronext Growth Paris";EUR;'0.205;'0.209;'0.204;'0.209;"26/08/2024 17:10";CET;7766;1606.23;'0.209;26/08/2024
"AMADEUS FIRE";DE0005093108;2AAD;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"AMADEUS FIRE";DE0005093108;4AAD;EuroTLX;EUR;110.00;110.00;110.00;110.00;"17/05/2024 17:18";CET;2;220.00;95.50;26/08/2024
"AMADEUS FIRE";DE0005093108;1AAD;"Euronext Global Equity Market";EUR;95.80;95.80;95.80;95.80;"30/07/2024 09:42";CET;31;2969.80;95.50;26/08/2024
"AMADEUS IT GROUP";ES0109067019;4AMS;EuroTLX;EUR;60.86;60.86;60.86;60.86;"22/07/2024 15:30";CET;350;21301.00;60.20;26/08/2024
"AMADEUS IT GROUP";ES0109067019;1AMS;"Euronext Global Equity Market";EUR;59.66;59.66;59.66;59.66;"22/08/2024 15:07";CET;20;1193.20;60.12;26/08/2024
"AMADEUS IT GROUP";ES0109067019;2AMS;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"AMATHEON AGRI";NL0010273694;MLAAH;"Euronext Access Paris";EUR;'0.0535;'0.0535;'0.0535;'0.0535;"26/08/2024 11:30";CET;1;'0.05;'0.0535;26/08/2024
AMAZON;US0231351067;4AMZN;EuroTLX;EUR;159.34;159.34;156.50;157.20;"26/08/2024 17:07";CET;700;'110365.06;157.62;26/08/2024
AMAZON;US0231351067;1AMZN;"Euronext Global Equity Market";EUR;158.62;159.02;156.10;157.54;"26/08/2024 17:35";CET;12381;'1955643.62;157.54;26/08/2024
AMAZON;US0231351067;2AMZN;"Trading After Hours";EUR;172.76;172.76;172.62;172.62;"31/07/2024 18:19";CET;60;10362.80;172.72;31/07/2024
AMBROMOBILIARE;IT0004779515;AMB;"Euronext Growth Milan";EUR;1.225;1.26;1.21;1.255;"26/08/2024 16:46";CET;2800;3448.00;1.255;26/08/2024
"AMC ENTERTAINMENT";US00165C3025;2AMC;"Trading After Hours";EUR;4.5555;4.5555;4.5555;4.5555;"'05/07/2024 19:16";CET;300;1366.65;4.89;31/07/2024
"AMC ENTERTAINMENT";US00165C3025;1AMC;"Euronext Global Equity Market";EUR;4.485;4.485;4.485;4.485;"23/08/2024 16:30";CET;40;179.40;4.607;26/08/2024
